Time,Number,GMDn,GSDn,mode_n,ultra_n,accum_n,coarse_n,Surface,GMDs,GSDs,mode_s,ultra_s,accum_s,coarse_s,Volume,GMDv,GSDv,mode_v,ultra_v,accum_v,coarse_v
2020-09-06 12:00:00,9574.313049227207,49.21489766615695,2.4699566620581854,[14.77421084 28.08181068 56.91647606],0.74,0.25,0.0,396835127.2403499,236.53186541010322,2.1487618025412725,[  28.99820714  265.8569135  2285.770837  ],0.1,0.85,0.04,21294816109.38357,452.77900170943906,2.4003761573661144,[  28.99820714  302.2958056  2437.388563  ],0.02,0.75,0.23
2020-09-06 13:00:00,7170.43865660129,55.767805986846184,2.4271681953491155,[16.26830907 41.28360327 78.46905285],0.71,0.29,0.0,299802521.6336236,211.76660198732128,2.06562600917091,[ 17.34740413  46.94201835 241.4403412 ],0.13,0.84,0.03,14183492882.352276,399.2053184835609,2.449463057131472,[  46.94201835  283.4914987  2143.58449   ],0.03,0.76,0.21
2020-09-06 14:00:00,8273.670855885457,48.29219061941105,2.470386573921582,[ 19.10172631  45.45856458 101.4534304 ],0.74,0.26,0.0,291489964.7023406,201.2744283284672,2.06055321646393,[ 30.92169053 127.0249468  241.4403412 ],0.13,0.84,0.03,13027878427.605669,374.3327736717553,2.4347999433051055,[ 31.93076107 265.8569135  574.5832163 ],0.03,0.78,0.19
2020-09-06 15:00:00,8254.450698016082,52.747817698485925,2.487705717027143,[19.72507481 37.4920747  71.26237437],0.71,0.29,0.0,316581007.0719636,197.66210763559138,1.9856946826282142,[ 19.72507481  37.4920747  192.8357499 ],0.13,0.84,0.02,13533161916.282722,348.63564507832155,2.367734267053779,[ 19.72507481  37.4920747  265.8569135 ],0.03,0.8,0.16
2020-09-06 16:00:00,9210.452336249948,51.20820801776515,2.4604950673897186,[21.033461   42.63081512 95.14252104],0.72,0.28,0.0,337632712.0002982,197.21447586175853,2.0163238656648197,[ 21.71984798  44.02199067 226.4215477 ],0.13,0.84,0.02,14493207878.537762,350.13012916697693,2.3455116099188795,[ 34.04876402 265.8569135  556.4253342 ],0.04,0.81,0.15
2020-09-06 17:00:00,10932.364065559566,48.45659986485207,2.4548839382193024,[14.77421084 29.94450846 95.14252104],0.75,0.25,0.0,386839413.6019501,204.38293615095847,2.0801022426978997,[  30.92169053  241.4403412  2143.58449   ],0.14,0.84,0.03,17516003937.303535,373.951127148011,2.361421551971284,[  31.93076107  322.3474232  2213.536292  ],0.03,0.8,0.17
2020-09-06 18:00:00,26237.082813332105,36.20692320962934,2.1743700504854804,[ 17.34740413  56.91647606 127.0249468 ],0.87,0.13,0.0,508914634.47167194,174.13725102446122,2.306338618677784,[ 30.92169053  73.58788638 205.62676   ],0.22,0.76,0.02,20749567134.3108,347.2058644030869,2.386751461689952,[ 30.92169053  58.77383697 312.1606541 ],0.05,0.8,0.14
2020-09-06 19:00:00,48062.820571164426,35.96943062734316,1.9521122091326613,[17.91350366 35.15988065],0.91,0.09,0.0,702966195.4432755,148.28875055827805,2.458248157792431,[ 22.4286339   48.47388181 241.4403412 ],0.31,0.67,0.02,25785113303.733414,326.99934465421086,2.473370545333153,[ 292.7427044 2360.36262  ],0.08,0.79,0.13
2020-09-06 20:00:00,37360.73291387099,38.991782611685366,2.1057073579093464,[19.10172631 36.30725647],0.88,0.12,0.0,677646230.9750433,153.7261249098721,2.288100237911107,[ 186.741787 2143.58449 ],0.29,0.7,0.02,24569118725.466194,313.3735257263867,2.4345625093616814,[ 322.3474232 2285.770837 ],0.08,0.79,0.12
2020-09-06 21:00:00,45110.88768143595,35.729692273850084,1.9082657275151562,[28.99820714],0.92,0.08,0.0,594943069.4764717,135.92232868775088,2.4600723354281153,[  62.67237105  219.2662121  1024.192684  ],0.35,0.63,0.02,20203191702.48679,307.83385980019455,2.531460662416208,[ 274.5326481 1024.192684  2285.770837 ],0.1,0.78,0.13
2020-09-06 22:00:00,13106.13146556721,62.04019925329295,2.1888437086053414,[62.67237105],0.71,0.29,0.0,524288556.5841094,195.07189081009287,2.0325731324370864,[ 241.4403412 2143.58449  ],0.16,0.82,0.02,22254300756.142365,342.3683012042637,2.276965473950461,[ 302.2958056 2213.536292 ],0.04,0.83,0.13
